,,,,MADE BY @ MYFANTASYHOOPS,,,,,,,,,,,,
AVERAGE PROJECTIONS COMPILATION - MYFANTASYHOOPS PROJECTIONS,,,,,,,,,,,,,,,,
PLAYER,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA
Braxton Key,419,10,"4,4","0,465","0,594","1,8","0,1","1,1","0,2","0,2","0,2","0,2","0,7","1,6","0,2","0,3"
Montrezl Harrell,369,20,"13,1","0,418","0,473","4,6","0,0","2,2","0,6","0,2","0,3","0,4","1,8","2,9","1,0","1,5"
Luke Kornet,337,58,"9,3","0,628","0,770","3,1","0,1","2,5","0,6","0,2","0,5","0,3","1,3","2,1","0,4","0,5"
Noah Clowney,365,26,"6,6","0,358","0,531","2,6","0,3","1,4","0,4","0,2","0,2","0,4","1,6","3,2","0,7","1,0"
Hunter Tyson,368,56,"9,2","0,337","0,584","3,9","0,7","1,0","0,3","0,2","0,2","0,3","2,1","4,7","0,5","0,6"
Brice Sensabaugh,376,32,"7,7","0,331","0,591","3,4","0,5","0,9","0,3","0,2","0,1","0,4","1,7","3,8","0,4","0,6"
Emoni Bates,381,18,"8,1","0,306","0,563","3,3","0,6","1,1","0,3","0,2","0,2","0,3","1,8","4,5","0,5","0,6"
Kobe Bufkin,382,52,"9,2","0,337","0,618","3,1","0,2","0,5","0,6","0,2","0,2","0,4","1,5","3,2","1,2","1,5"
Brandin Podziemski,394,46,"8,9","0,331","0,576","3,1","0,4","0,7","0,7","0,2","0,1","0,5","1,5","3,3","1,0","1,4"
Marcus Sasser,395,33,"6,5","0,311","0,625","2,1","0,3","0,3","0,3","0,2","0,0","0,4","0,8","1,9","0,3","0,4"
Jalen Pickett,403,25,"6,4","0,333","0,560","2,0","0,3","0,4","0,6","0,2","0,1","0,3","0,9","1,9","0,3","0,4"
Dariq Whitehead,406,25,"8,6","0,360","0,632","2,8","0,4","0,8","0,5","0,2","0,1","0,4","0,8","1,9","0,3","0,4"
Terry Taylor,421,16,"7,2","0,552","0,615","2,8","0,2","1,9","0,4","0,2","0,1","0,3","0,9","1,5","0,2","0,3"
JaVale McGee,340,29,"10,4","0,607","0,636","5,1","0,0","3,4","0,4","0,2","0,7","0,8","2,1","3,5","0,7","1,1"
Bruno Fernando,338,33,"8,4","0,548","0,632","3,6","0,0","3,0","0,6","0,1","0,7","0,6","1,6","2,8","0,8","1,2"
Robin Lopez,366,69,"11,9","0,614","0,658","4,9","0,1","2,3","0,8","0,1","0,4","0,8","2,0","3,4","0,6","0,9"
Udoka Azubuike,369,10,"8,4","0,790","0,417","3,1","0,0","2,9","0,2","0,1","0,4","0,5","1,5","1,9","0,2","0,5"
Neemias Queta,377,40,"10,4","0,500","0,609","4,0","0,0","2,9","0,5","0,1","0,7","0,5","1,6","3,3","0,8","1,3"
Admiral Schofield,399,30,"10,1","0,434","0,881","3,3","0,6","1,7","0,6","0,1","0,1","0,4","1,2","2,8","0,4","0,4"
A.J. Lawson,405,10,"7,4","0,500","0,727","4,1","0,7","1,5","0,1","0,1","0,0","0,2","1,5","3,0","0,4","0,6"
Anthony Gill,409,30,"8,4","0,553","0,763","2,9","0,1","1,4","0,5","0,1","0,2","0,3","1,0","1,9","0,7","0,9"
